_u800_Bio_Intro,inline_bio_intro_abiotic_characteristics_q1_water,"Water _ Abiotic Correct _ Although water is a substance that is required by all biotic organisms, water itself is abiotic since it does not meet any of the conditions outlined above _ Evaluate each item according to the characteristics that are required for all biotic (living) things _ It may help to know that bacteria are composed of cells, but viruses are much smaller and simpler than cells _ Water and carbon dioxide are tiny abiotic molecules; glucose is a bigger molecule but still nonliving _ Viruses are just at the edge of life but are not composed of cells and depend on cells for their existence, so they’re not truly alive _ Bacteria are cellular life forms."
_u800_Bio_Intro,inline_bio_intro_abiotic_characteristics_q2_bacteria,"Bacteria _ Biotic Correct _ Bacteria are unicellular microorganisms that meet all of the conditions outlined above _ Evaluate each item listed above according to the characteristics that are required for all biotic (living) things _ It may help to know that bacteria are composed of cells, but viruses are much smaller and simpler than cells _ Water and carbon dioxide are tiny abiotic molecules; glucose is a bigger molecule but still nonliving _ Viruses are just at the edge of life but are not composed of cells and depend on cells for their existence, so they’re not truly alive _ Bacteria are cellular life forms."
_u800_Bio_Intro,inline_bio_intro_abiotic_characteristics_q3_glucose,"Glucose _ Abiotic Correct _ Glucose is an abiotic molecule manufactured by producers (i.e., plants, algae, etc.) through photosynthesis and used as a source of energy by organisms _ However, the glucose molecule itself is not alive and does not have any of the properties of life _ Evaluate each item listed above according to the characteristics that are required for all biotic (living) things _ It may help to know that bacteria are composed of cells, but viruses are much smaller and simpler than cells _ Water and carbon dioxide are tiny abiotic molecules; glucose is a bigger molecule but still nonliving _ Viruses are just at the edge of life but are not composed of cells and depend on cells for their existence, so they’re not truly alive _ Bacteria are cellular life forms."
_u800_Bio_Intro,inline_bio_intro_abiotic_characteristics_q4_cotton,"Cotton _ Biotic Correct _ Cotton is cellular and meets all of the remaining conditions outlined above _ It is dead material from a once-living plant _ Evaluate each item listed above according to the characteristics that are required for all biotic (living) things _ It may help to know that bacteria are composed of cells, but viruses are much smaller and simpler than cells _ Water and carbon dioxide are tiny abiotic molecules; glucose is a bigger molecule but still nonliving _ Viruses are just at the edge of life but are not composed of cells and depend on cells for their existence, so they’re not truly alive _ Bacteria are cellular life forms."
_u800_Bio_Intro,inline_bio_intro_abiotic_characteristics_q5_carbon_dioxide,"Carbon Dioxide Abiotic Correct _ Carbon dioxide is an abiotic molecule produced by biotic organisms and through various processes not involving living organisms (i.e., the burning of fossil fuels: oil, coal, and natural gas) _ Evaluate each item listed above according to the characteristics that are required for all biotic (living) things _ It may help to know that bacteria are composed of cells, but viruses are much smaller and simpler than cells _ Water and carbon dioxide are tiny abiotic molecules; glucose is a bigger molecule but still nonliving _ Viruses are just at the edge of life but are not composed of cells and depend on cells for their existence, so they’re not truly alive _ Bacteria are cellular life forms."
_u800_Bio_Intro,inline_bio_intro_abiotic_characteristics_q6_yogurt,"Yogurt _ Biotic Correct _ Yogurt is produced when bacteria ferment milk _ The bacteria present in the yogurt make it biotic _ Evaluate each item listed above according to the characteristics that are required for all biotic (living) things _ It may help to know that bacteria are composed of cells, but viruses are much smaller and simpler than cells _ Water and carbon dioxide are tiny abiotic molecules; glucose is a bigger molecule but still nonliving _ Viruses are just at the edge of life but are not composed of cells and depend on cells for their existence, so they’re not truly alive _ Bacteria are cellular life forms."
_u800_Bio_Intro,inline_bio_intro_abiotic_characteristics_q7_cold_virus,"Cold Virus _ Abiotic Correct _ Although you may think viruses are biotic, they don’t meet all of the requirements _ You will explore the unique characteristics of viruses later in this section _ Evaluate each item listed above according to the characteristics that are required for all biotic (living) things _ It may help to know that bacteria are composed of cells, but viruses are much smaller and simpler than cells _ Water and carbon dioxide are tiny abiotic molecules; glucose is a bigger molecule but still nonliving _ Viruses are just at the edge of life but are not composed of cells and depend on cells for their existence, so they’re not truly alive _ Bacteria are cellular life forms."
_u800_Bio_Intro,inline_intro_to_bio_DIGT_v1_q1_biology_branches,"All of the following are part of the study of biology except: Earthquakes Correct _ The study of earthquakes falls under geology, which is the scientific discipline that analyzes the physical crust and underground features of our planet _ Biology is the study of life _ Biologists might study rocks, but mainly to analyze traces of living things: fossils and chemical signatures of past life forms _ Biology focuses on living organisms _ Which of these does not closely involve life? Earthquakes are not biological phenomena."
_u800_Bio_Intro,inline_intro_to_bio_DIGT_v1_q2_student_questions,List several questions you have about the study of biology _ What concepts do you hope to cover in this course? What are you most excited to learn about? There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.
_u800_Bio_Intro,inline_levels_of_organization_DIGT_q1_encompassing_level,"Which of the following levels of organization is found within all of the other levels? population Correct _ Populations are groups of similar organisms living together _ There are many populations found in communities and ecosystems, as well as the biosphere _ Look for the “smallest” and simplest of the levels _ A community is part of an ecosystem _ All ecosystems together make up the biosphere _ The population level is contained within all of the others."
