7(1)(A),"(1)  Scientific investigation and reasoning. The 
  student, for at least 40% of the instructional time, conducts laboratory and 
  field investigations following safety procedures and environmentally appropriate 
  and ethical practices. The student is expected to: (A)  demonstrate safe practices during laboratory 
  and field investigations as outlined in the Texas Safety Standards; and"
7(1)(B),"(1)  Scientific investigation and reasoning. The 
  student, for at least 40% of the instructional time, conducts laboratory and 
  field investigations following safety procedures and environmentally appropriate 
  and ethical practices. The student is expected to: (B)  practice appropriate use and conservation 
  of resources, including disposal, reuse, or recycling of materials."
7(2)(A),"(2)  Scientific investigation and reasoning. The 
  student uses scientific inquiry methods during laboratory and field investigations. 
  The student is expected to: (A)  plan and implement comparative and descriptive 
  investigations by making observations, asking well-defined questions, and using 
  appropriate equipment and technology;"
7(2)(B),"(2)  Scientific investigation and reasoning. The 
  student uses scientific inquiry methods during laboratory and field investigations. 
  The student is expected to: (B)  design and implement experimental investigations 
  by making observations, asking well-defined questions, formulating testable 
  hypotheses, and using appropriate equipment and technology;"
7(2)(C),"(2)  Scientific investigation and reasoning. The 
  student uses scientific inquiry methods during laboratory and field investigations. 
  The student is expected to: (C)  collect and record data using the International 
  System of Units (SI) and qualitative means such as labeled drawings, writing, 
  and graphic organizers;"
7(2)(D),"(2)  Scientific investigation and reasoning. The 
  student uses scientific inquiry methods during laboratory and field investigations. 
  The student is expected to: (D)  construct tables and graphs, using repeated 
  trials and means, to organize data and identify patterns; and"
7(2)(E),"(2)  Scientific investigation and reasoning. The 
  student uses scientific inquiry methods during laboratory and field investigations. 
  The student is expected to: (E)  analyze data to formulate reasonable explanations, 
  communicate valid conclusions supported by the data, and predict trends."
7(3)(A),"(3)  Scientific investigation and reasoning. The 
  student uses critical thinking, scientific reasoning, and problem solving to 
  make informed decisions and knows the contributions of relevant scientists. 
  The student is expected to: (A)  in all fields of science, analyze, evaluate, 
  and critique scientific explanations by using empirical evidence, logical reasoning, 
  and experimental and observational testing, including examining all sides of 
  scientific evidence of those scientific explanations, so as to encourage critical 
  thinking by the student;"
7(3)(B),"(3)  Scientific investigation and reasoning. The 
  student uses critical thinking, scientific reasoning, and problem solving to 
  make informed decisions and knows the contributions of relevant scientists. 
  The student is expected to: (B)  use models to represent aspects of the natural 
  world such as human body systems and plant and animal cells;"
7(3)(C),"(3)  Scientific investigation and reasoning. The 
  student uses critical thinking, scientific reasoning, and problem solving to 
  make informed decisions and knows the contributions of relevant scientists. 
  The student is expected to: (C)  identify advantages and limitations of models 
  such as size, scale, properties, and materials; and"
7(3)(D),"(3)  Scientific investigation and reasoning. The 
  student uses critical thinking, scientific reasoning, and problem solving to 
  make informed decisions and knows the contributions of relevant scientists. 
  The student is expected to: (D)  relate the impact of research on scientific 
  thought and society, including the history of science and contributions of scientists 
  as related to the content."
